question,answer,category
pm kisan,PM-KISAN gives Rs 6000/year to farmers. Apply at pmkisan.gov.in or nearest CSC.,agriculture
aadhaar,Free ID card. Visit Aadhaar Seva Kendra with ID proof.,government
ayushman bharat,Free health insurance up to Rs 5 lakh. Check eligibility at mera.pmjay.gov.in,health
bank account,Open at any bank with Aadhaar. Zero balance accounts available under PMJDY.,banking
upi payment,Send money using phone number. Download GPay/PhonePe and link bank account.,digital
job card MNREGA,Apply at Gram Panchayat for 100 days guaranteed work.,employment
sukanya samriddhi,Savings scheme for girl child. 8.2% interest. Open at post office.,government
pension,Apply at Gram Panchayat. PM-SYM gives Rs 3000/month for workers.,government
mid day meal,Free lunch in government schools for students.,education
scholarship,Apply at scholarships.gov.in with Aadhaar and income certificate.,education
soil health card,Free soil testing at agricultural office. Know what your soil needs.,agriculture
kisan credit card,Loan up to Rs 3 lakh at 4% interest. Apply at bank.,agriculture
pmay,Affordable housing scheme. Apply at Gram Panchayat.,government
covid vaccine,Free at government centers. Register at cowin.gov.in,health
digital locker,Store documents online. Sign up at digilocker.gov.in,digital
pmjjby,Life insurance Rs 2 lakh for Rs 436/year. Apply at bank.,banking
pmbsby,Accident insurance Rs 2 lakh for Rs 20/year. Apply at bank.,banking
birth certificate,Register at Gram Panchayat within 21 days. Apply online at nvsp.nic.in,government
jan dhan,Zero balance account with free debit card. Apply at bank.,banking
ration card,Apply at ration office to buy subsidized grains.,government

